src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.42.0.37,10.42.0.95,40856,8800,6,2025-07-10 17:53:11,90.069978,74354.64234264607,77.66183755479544,23.659381819766846,54.0024557350286,2131,4864,141222,6555899,78,66,66.27029563585171,1.7805863920237268,1494,68,1347.8410773026317,316.97652860426507,1494,66,957.4154395997141,646.3682699110096,417791.94034775184,42620,97280,20,0,0.012878178152702317,30.849644,0.0,0.3691321803502489,89.989786,30.886124,0.0,0.04224872582159625,0.6694186004226444,90.068714,30.849644,5e-06,0.018521224347110836,0.44271343953422254,0,1210,0,0,0,0,0,1210,6995,0,0,2.282496480525575,957.4154395997141,3069,2187,0,0,0,0,0,0,0,0,0,0,3117437.5,2432.0,0,105284.9191991701321888371432,66.27029563585171,1347.8410773026317,0,2131,4864,141222,6555899
10.42.0.95,13.200.116.157,57997,443,6,2025-07-10 17:53:41,71.621441,20.34307017084451,0.16754759234738098,0.11169839489825399,0.055849197449126996,8,4,1065,392,327,66,133.125,92.49788848941364,99,97,98.0,1.0,327,66,121.41666666666667,77.32017668255952,5978.409722222222,160,80,20,5,6.511040090909091,55.031616,0.0,15.995487770726884,71.621441,55.031616,0.0,10.231634428571429,19.07860518975477,71.420679,55.203042,0.16789,23.806893000000002,23.12786161703042,5,4,0,0,0,0,0,9,12,0,0,0.5,121.41666666666667,5283,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.125,98.0,0,8,4,1065,392
10.42.0.95,10.42.0.37,8800,40856,6,2025-07-10 17:54:42,26.246121,119579.5371056927,123.56111594547629,86.41276933837194,37.148346607104344,2268,975,3074041,64458,1494,79,1355.397266313933,316.30742158292026,78,66,66.11076923076924,1.1475891890156344,1494,66,967.7764415664508,647.6691049285271,419475.2694789194,45360,19500,20,2268,0.008095657310302283,0.113278,0.0,0.015990023709455684,26.246121,0.143956,0.0,0.011577468460520513,0.021252019573794145,26.221931,0.187093,6.8e-05,0.026921900410677616,0.03450131762453271,539,0,0,0,0,0,0,539,3243,0,0,0.4298941798941799,967.7764415664508,2187,3066,0,0,0,0,0,0,0,0,2922925.0,2267.0,0,0,111365.9805195594427077433652,0,1355.397266313933,66.11076923076924,0,2268,975,3074041,64458
10.42.0.37,10.42.0.95,40856,8800,6,2025-07-10 17:55:08,81.226544,120967.78363486694,126.1410309418064,38.92816121784031,87.2128697239661,3162,7084,209532,9616263,78,66,66.26565464895636,1.7655830184288013,1494,73,1357.4623094297008,307.0611292836824,1494,66,958.9883857114971,648.7808771447354,420916.62654869223,63240,141680,20,0,0.007928408394338702,0.155447,0.0,0.01622525898054562,81.224597,0.423698,0.0,0.025695854792787094,0.034606820678689657,81.204265,0.156336,6e-06,0.011464671043343215,0.021433731882207367,0,1670,0,0,0,0,0,1670,10246,0,0,2.2403542061986084,958.9883857114971,3071,2187,0,0,0,0,0,0,0,0,0,0,9148719.0,7084.0,0,112663.0356176489005842242399,66.26565464895636,1357.4623094297008,0,3162,7084,209532,9616263
10.42.0.37,10.42.0.95,58838,443,6,2025-07-10 17:55:10,0.179684,22940.272923576944,150.26379644264375,72.34923532423588,77.91456111840786,13,14,2026,2096,746,66,155.84615384615384,187.62681707369848,588,54,149.71428571428572,154.69344273268274,746,54,152.66666666666666,171.36964595737356,29367.55555555556,260,280,20,4,0.0069109230769230775,0.05715,0.0,0.013039498323652808,0.176098,0.092975,0.0,0.014674833333333331,0.02587020509464293,0.178588,0.05715,1.3e-05,0.01373753846153846,0.018703610332748324,4,7,0,0,2,3,2,11,23,0,0,1.0769230769230769,152.66666666666666,65535,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.84615384615384,149.71428571428572,0,13,14,2026,2096
10.42.0.95,13.200.116.157,57997,443,6,2025-07-10 17:55:24,63.088538,18.783126659235627,0.15850739796823315,0.1109551785777632,0.04755221939046995,7,3,892,293,250,66,127.42857142857143,78.57636348138786,99,97,97.66666666666667,0.9428090415820634,250,66,118.5,67.14350303640703,4508.25,140,60,20,4,7.009837555555556,55.00251,0.0,17.12747210591002,63.088538,55.00251,0.0,10.514756333333333,20.079201709533432,62.887875,55.173368,7.714507,31.4439375,23.729430500000003,4,3,0,0,0,0,0,7,10,0,0,0.42857142857142855,118.5,5283,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.42857142857143,97.66666666666667,0,7,3,892,293
10.42.0.37,10.42.0.95,59478,443,6,2025-07-10 17:56:10,0.161982,25447.271919102124,166.685187243027,80.25583089479079,86.42935634823623,13,14,2026,2096,746,66,155.84615384615384,187.62681707369848,588,54,149.71428571428572,154.69344273268274,746,54,152.66666666666666,171.36964595737356,29367.55555555556,260,280,20,4,0.006230076923076923,0.056485,0.0,0.012448451296703158,0.157743,0.098343,0.0,0.013145250000000002,0.026577698800325684,0.158055,0.056485,9e-06,0.012158076923076926,0.017824762212079008,4,7,0,0,2,3,2,11,23,0,0,1.0769230769230769,152.66666666666666,65535,14280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.84615384615384,149.71428571428572,0,13,14,2026,2096
10.42.0.95,10.42.0.37,8800,40856,6,2025-07-10 17:56:29,82.366854,119383.77542014654,122.69498601949759,86.12687817359152,36.56810784590607,7094,3012,9634018,199248,1494,93,1358.0515928954046,306.44148705700684,78,66,66.15139442231076,1.3393329670482528,1494,66,973.0126657431229,644.2793489745106,415095.8795150193,141880,60240,20,7094,0.00815109886194953,0.135195,0.0,0.016948521613805743,82.366854,0.138049,0.0,0.011612414211194135,0.022490607122085705,82.347478,0.301452,7.3e-05,0.027348880106276983,0.03476386518111434,1672,0,0,0,0,0,0,1672,10106,0,0,0.4245841556244714,973.0126657431229,2187,3060,0,0,0,0,0,0,0,0,9164386.0,7093.0,0,0,111263.0330642469360308456118,0,1358.0515928954046,66.15139442231076,0,7094,3012,9634018,199248
10.42.0.95,13.200.116.157,57997,443,6,2025-07-10 17:56:59,42.611209,43.22806236265204,0.2816160414505019,0.18774402763366793,0.09387201381683397,8,4,1448,394,327,66,181.0,111.10130512284724,99,97,98.5,0.8660254037844386,327,66,153.5,98.70030395089977,9741.75,160,80,20,5,3.873746272727273,22.807083,0.0,8.084551680811835,42.611209,22.807083,0.0,6.087315571428571,9.446542194197603,42.444509,23.034514,0.168768,14.148169666666666,10.005498814305207,5,4,0,0,0,0,0,9,12,0,0,0.5,153.5,5283,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.0,98.5,0,8,4,1448,394
10.42.0.37,10.42.0.95,54248,443,6,2025-07-10 17:57:10,0.257175,17089.53047535725,120.54048799455624,58.326042578011084,62.21444541654516,15,16,2170,2225,746,66,144.66666666666666,176.99478962827,588,54,139.0625,147.46799176007653,746,54,141.7741935483871,162.45092751399142,26390.30385015609,300,320,20,4,0.008572500000000002,0.068957,0.0,0.016590185059747426,0.25613400000000003,0.107825,0.0,0.018295285714285712,0.029662213236055477,0.255432,0.068957,1.3e-05,0.017028800000000004,0.02375800153548274,4,8,0,0,3,3,3,12,26,0,0,1.0666666666666667,141.7741935483871,65535,14280,0,0,0,0,0,0,0,0,0,0,630.0,4.0,0,10947.95377530628204014249718,144.66666666666666,139.0625,0,15,16,2170,2225
